track,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorus_hit,sections,target
Walking Blues,Big Joe Williams,spotify:track:1ZjN5X8LmUB67pWPgimW3B,0.509,0.277,6,-14.323,1,0.0495,0.827,0.00206,0.0756,0.64,101.157,161893,4,68.4653,7,0
Suddenly Last Summer,The Motels,spotify:track:4fLIM0B1WwrLux9RdnMvze,0.716,0.753,2,-5.682,1,0.0286,0.162,0.0306,0.0831,0.561,120.141,222000,4,57.71583,11,1
Sanctuary,Béla Fleck,spotify:track:3DwlNfiCQSdj0GOxYkR9Rq,0.36,0.542,5,-13.885,1,0.0339,0.368,0.165,0.116,0.803,116.831,444907,4,30.34574,17,0
The Wild Rover,The Pogues,spotify:track:6JyYNPLalPgGa7XnclF5FO,0.656,0.512,7,-11.872,1,0.029,0.585,0,0.072,0.88,97.5,157893,3,50.97022,7,0
In The Driver's Seat,John Schneider,spotify:track:6jJi8OXF5qaFdysB6sjWIT,0.642,0.889,2,-5.62,0,0.0494,0.375,0,0.18,0.764,163.351,162293,4,33.62053,7,1
Slow Kill,Fields Of The Nephilim,spotify:track:3AKzRH32S4Jc5Ge4RFp5WG,0.296,0.547,4,-15.115,0,0.0327,0.000291,0.0136,0.372,0.49,148.775,224360,4,53.02555,11,0
Young Wild And Free,Brighton Rock,spotify:track:7EBpncUwlHjLhQTetSLb9O,0.454,0.734,2,-15.559,1,0.041,0.124,1.36e-05,0.099,0.46,135.527,225560,4,36.52688,11,0
Holiday,The Other Ones,spotify:track:3f1rbdXIbz36QZ8xU7wt2i,0.487,0.853,11,-10.165,0,0.0343,0.0277,0.00737,0.136,0.802,83.593,213427,4,15.23401,10,1
Answering Machine,Rupert Holmes,spotify:track:5Qo14bQqTK9iGbf2g6JUjL,0.775,0.488,0,-15.044,1,0.123,0.24,0,0.0368,0.961,81.158,215200,4,28.65643,9,1
Crystal Ball,Yngwie Malmsteen,spotify:track:6C3BPDXuHFRbCWsTk4eNPU,0.406,0.777,8,-11.498,1,0.059,0.087,1.63e-05,0.196,0.456,131.109,295507,4,41.44096,12,0
Right On Track,The Breakfast Club,spotify:track:3UiuKZWtgXjeAfnfGqIeu0,0.763,0.824,1,-10.054,0,0.033,0.0613,4.45e-05,0.0226,0.947,116.975,256947,4,26.8888,14,1
Driving Blind,Chris & Cosey,spotify:track:02HBzyigV4WjMhBLwmJI7f,0.806,0.749,4,-14.328,0,0.0502,0.00164,0.898,0.629,0.252,115.718,390200,4,86.13896,17,0
Coumba,Orchestra Baobab,spotify:track:2hRkoolB3umU4SviReUK4R,0.655,0.304,3,-15.005,1,0.0375,0.751,0.0052,0.092,0.442,82.465,462560,4,23.18097,23,0
Toy Soldiers,Martika,spotify:track:4jh9olf0OKCokpzxSyLeJx,0.514,0.59,1,-6.405,0,0.0274,0.403,0,0.126,0.173,130.167,287600,4,67.3578,8,1
Make It Real,The Jets,spotify:track:3fGR17imrNcMkwm5WZSBbI,0.724,0.275,9,-11.332,1,0.0354,0.205,0.0001,0.0935,0.653,79.944,257067,4,24.25118,12,1
The Silver Ball - 2005 Digital Remaster,Harold Budd,spotify:track:2FA6ZLzJ2f5ZhX1qzoGfWA,0.0802,0.0176,6,-29.853,0,0.0434,0.939,0.814,0.0812,0.0489,81.378,211253,4,36.0528,10,0
Leila,ZZ Top,spotify:track:7tnAAu1R09JUyjor6gwBrG,0.707,0.513,6,-14.836,0,0.0295,0.106,0.0519,0.289,0.791,111.402,195133,4,18.21774,10,1
Ridge Road Gravel,Norman Blake,spotify:track:15KdIFSLpkeWxwMOVoLnxi,0.639,0.15,2,-18.53,1,0.0357,0.822,0.0013,0.139,0.711,98.852,147627,4,23.41037,8,0
Mordor - Live in Munich,Running Wild,spotify:track:586JuEkUz9LMuw359tnENM,0.22,0.924,11,-11.801,0,0.0468,3.2e-05,0.0706,0.937,0.273,176.57,264440,4,30.08494,14,0
Habaneras de Cadiz,Carlos Cano,spotify:track:5NM2OJtBJqED5H7VwrfOPR,0.483,0.26,9,-12.947,1,0.0516,0.948,3.14e-06,0.144,0.468,129.326,273000,4,38.22913,11,0
Hungry Heart,Bruce Springsteen,spotify:track:1KsI8NEeAna8ZIdojI3FiT,0.641,0.894,8,-7.41,1,0.0273,0.0857,0.009,0.157,0.972,109.823,199453,4,34.61031,7,1
No Competition,Eric B. & Rakim,spotify:track:2lGMcPCaEyBRu2wFA4kfyv,0.852,0.42,11,-21.28,1,0.293,0.0246,0.000699,0.355,0.647,117.109,232000,4,61.75679,12,0
Oh Boy,Slime,spotify:track:4xiZ2sx9ZMUsclWiLWklcJ,0.332,0.946,0,-5.413,1,0.0885,0.000946,0.00281,0.956,0.45,123.247,105800,4,5.51701,3,0
Precious To Me,Phil Seymour,spotify:track:0uDbaQ0mUscJhYV2dn7bNm,0.698,0.867,11,-5.946,0,0.0278,0.0184,0,0.102,0.956,129.549,171160,4,31.38554,10,1
Storms in Africa - Pt. II,Enya,spotify:track:1uQVrfQXsCDaGvjt6qDOWv,0.475,0.463,1,-18.689,1,0.0444,0.762,0.93,0.174,0.528,104.05,180837,4,46.80989,9,0
Catch Me I'm Falling,Real Life,spotify:track:3Guz2ytmxqThnnJGHwXviA,0.574,0.803,10,-6.866,1,0.052,0.000176,0.0456,0.246,0.771,84.791,245467,4,32.06669,11,1
Tollkühn,Moebius,spotify:track:1rGoNUz5YGPcpxD5LAP5H6,0.182,0.786,0,-12.628,0,0.0852,0.00147,0.696,0.0767,0.452,74.1,371467,4,14.33702,17,0
It's Only Love,Simply Red,spotify:track:6i1uWZYWabNHq2wQnoca58,0.666,0.884,9,-5.243,0,0.0429,0.506,0.00612,0.0408,0.754,92.005,298573,4,58.02635,9,1
Fields Of Fire,Big Country,spotify:track:7f7bSSvBqxn6WAHTRZMWHB,0.592,0.907,5,-8.87,1,0.0584,0.00111,0.0862,0.0954,0.613,123.815,211467,4,34.2106,10,1
I'm Gonna Miss You,Kenny Loggins,spotify:track:0k7xF4CsvVyGQ11t81asRx,0.695,0.665,0,-10.85,1,0.0271,0.574,3.99e-06,0.456,0.855,100.908,260160,4,26.10077,13,1
No More Tears (Enough Is Enough),Barbra Streisand/Donna Summer,spotify:track:1wSPm3y4Lk6ABkVxCmwkZx,0.634,0.644,2,-8.234,0,0.0838,0.51,7.09e-05,0.32,0.286,135.24,282493,4,46.56178,14,1
When He Shines,Sheena Easton,spotify:track:1jUu3iBZ1lCZSpnvbe0udo,0.346,0.0677,10,-15.864,1,0.0341,0.922,3.44e-06,0.112,0.0855,110.559,236347,4,34.93229,12,1
Addiction,Skinny Puppy,spotify:track:0TVjpDJ9Vxjg8W4yeYE5A6,0.642,0.791,2,-12.816,1,0.034,0.007,0.000603,0.198,0.581,109.669,361333,4,24.17049,17,0
Small World,Huey Lewis & The News,spotify:track:0P7BhaKFxCj5Axs3xB0eiw,0.565,0.725,9,-5.7,1,0.0336,0.0985,0.000546,0.4,0.57,113.198,520813,4,67.791,21,1
Le rock pirate,Vladimir Cosma,spotify:track:15HTWFAMojGlQxlQyp6srS,0.507,0.962,7,-7.105,1,0.0425,0.336,0.775,0.0778,0.846,157.892,155840,4,49.23759,7,0
Stone Love,Kool & The Gang,spotify:track:79rKHltKL1T8rS98lOv3yF,0.693,0.575,1,-17.068,1,0.0313,0.068,0.000704,0.249,0.916,109.99,275040,4,36.76431,13,1
Dance Hall Clash - Acappella,Tenor Fly,spotify:track:5ueCbWJ80yYD6JoXu57JNZ,0.928,0.713,7,-15.274,1,0.162,0.265,0,0.0866,0.968,101.48,244107,4,62.68526,11,0
Holy Hack Jack,Demented Are Go,spotify:track:3aCyoVnoC5e4W66pfbtsbB,0.365,0.937,2,-5.419,0,0.092,0.000392,0.0156,0.305,0.457,101.372,136693,4,53.48246,4,0
Deep Down Trauma Hounds,Skinny Puppy,spotify:track:5PavDLO2BGf74yYYy7DXCl,0.703,0.527,10,-16.199,0,0.0665,0.0161,0.013,0.393,0.269,110.06,281560,4,48.82267,10,0
Punk Is Dead - Live,Crass,spotify:track:0nNFGuR7ODUFWsVCS7b6Lv,0.312,0.765,10,-9.277,1,0.0951,0.00726,0.229,0.869,0.645,202.365,118880,4,79.43024,3,0
Martires del Rock and Roll,Los Suaves,spotify:track:6qNI34MBRHZNjSXs7Xf4p2,0.431,0.8,2,-12.565,1,0.228,0.0023,3.01e-05,0.273,0.449,168.261,290067,4,48.73259,12,0
The Pursuit of Power (A),Keith Mansfield,spotify:track:27xvFhrc5ybj4JS3fPlqFy,0.535,0.222,5,-17.628,0,0.0415,0.921,0.865,0.0981,0.0673,80.976,164035,4,34.99102,9,0
Need A Little Taste Of Love,The Doobie Brothers,spotify:track:7785ghT4ZHFYUyniLySfRl,0.605,0.919,9,-8.372,1,0.0503,0.000382,0.00139,0.057,0.84,115.006,245413,4,50.31112,10,1
Mas Que Nada,Luiz Henrique,spotify:track:2qJOgnPjVOMXPDKKT0tgOO,0.575,0.179,4,-21.549,0,0.0501,0.902,0.0316,0.175,0.664,78.265,180053,4,31.91805,9,0
Bottle of Smoke,The Pogues,spotify:track:1UEM1odhWQbVoUMw4WkZdR,0.44,0.82,0,-12.919,1,0.0385,0.0416,0.000212,0.0964,0.941,147.853,167333,4,47.33817,8,0
Falling In Love (Uh-Oh),Miami Sound Machine,spotify:track:5jwoygernfGvAuIxFSqxHp,0.723,0.484,2,-14.456,1,0.026,0.261,0.00692,0.0492,0.962,108.991,233160,4,22.20608,10,1
Forever Your Girl,Paula Abdul,spotify:track:0lmS0Wofcv7B7uFYssSKta,0.701,0.891,2,-7.873,1,0.0446,0.185,0.0454,0.0712,0.747,119.966,300467,4,36.04943,13,1
Vivo Sonhando,Stan Getz,spotify:track:1Zfs685ci0kxKAym9WMuxi,0.464,0.272,7,-12.569,1,0.0338,0.901,1.35e-05,0.153,0.385,140.946,173507,3,27.18952,9,0
One More Try,George Michael,spotify:track:5932kbyNt445gDTT2chRUS,0.551,0.291,5,-12.544,1,0.0283,0.434,3.78e-05,0.11,0.0823,119.005,350667,3,26.34592,23,1
Athol-brose,Cocteau Twins,spotify:track:6FwoAekQelrCxhP9tVu1ju,0.481,0.625,5,-5.816,1,0.0383,0.000574,0.788,0.124,0.437,120.078,179280,4,40.73267,8,0
One Thing Leads To Another,The Fixx,spotify:track:5B37ocpk2zxeZL1lq5F6ui,0.789,0.945,5,-5.219,0,0.0482,0.198,3.11e-06,0.0617,0.965,136.745,199827,4,37.31624,8,1
Still A Thrill,Jody Watley,spotify:track:6qMrM4U5bf8n06PgX0qkB0,0.84,0.458,2,-13.245,1,0.062,0.151,0.25,0.148,0.968,109.924,281827,4,18.43257,13,1
Get Funky (Long Club Adub),Royal House,spotify:track:3o3qsqnaPcPlacWfvJs52p,0.774,0.988,10,-2.305,0,0.135,0.0868,0.778,0.248,0.588,122.517,374720,4,48.9867,13,0
You Don't Believe,The Alan Parsons Project,spotify:track:5vhDFOTm51TGtGaPTtcTKY,0.667,0.633,0,-10.836,0,0.0313,0.0683,4.12e-05,0.0725,0.574,122.827,266893,4,28.35616,9,1
Medley,Stars On 45,spotify:track:1gQPqkrPZ1RypZvSYEAygs,0.647,0.818,1,-6.174,0,0.051,0.155,8.18e-06,0.166,0.908,122.552,233213,4,20.12723,13,1
A Rock And A Hard Place,Sisters of Mercy,spotify:track:5qlHGUwHMgO0x9iQ7R7wV2,0.676,0.94,0,-14.304,1,0.0411,0.00785,0.228,0.122,0.814,133.734,215467,4,38.92427,10,0
All-Boy All-Girl,Arthur Russell,spotify:track:1WaTs5OShZF8n3xgFrVYDD,0.768,0.191,5,-19.233,0,0.046,0.2,0.207,0.216,0.439,138.798,223600,4,47.92506,9,0
Right Next Door (Because Of Me),The Robert Cray Band,spotify:track:67mzUTffcYdKgFdBj2t1rp,0.748,0.635,10,-8.412,0,0.0533,0.21,0.000824,0.129,0.727,87.533,258800,4,71.88103,11,1
No Reason,Matthew Young,spotify:track:6Y5xvsGySH5DAzyQAc0AiE,0.415,0.0779,1,-33.337,1,0.0503,0.967,0.813,0.376,0.971,107.815,184813,4,19.15864,11,0
New Romance (It's A Mystery),Spider,spotify:track:6mRcTcQxjHByzX6eMWv13T,0.608,0.671,4,-12.549,1,0.0358,0.126,1.31e-06,0.091,0.76,133.894,189475,4,30.23218,11,1
Tonight,The Whispers,spotify:track:5BmmCEPNTFmmJ8hsIByMGb,0.802,0.672,10,-9.419,0,0.0562,0.00185,0.0508,0.281,0.686,114.358,370027,4,33.78861,15,1
Foolish Heart,Sharon Bryant,spotify:track:7JR5s8DtDZxhVHAqawvo20,0.642,0.419,1,-12.609,1,0.0316,0.481,0,0.0523,0.755,95.6,279840,4,46.68056,10,1
The Peoples Message Take Two,Terry Lewis and Wild Flower,spotify:track:2hZMr26l6SGTe7x0Ol1KVU,0.69,0.745,0,-12.131,1,0.0679,0.135,0,0.503,0.927,109.526,787467,4,28.34963,26,0
I Miss You,Klymaxx,spotify:track:3d6UefBBvhqHxJLZdm8scF,0.553,0.345,5,-18.267,1,0.0342,0.499,0,0.252,0.305,139.562,333267,4,37.94736,14,1
Abadabadango,Kim Carnes,spotify:track:6Xh5kq8X2wd5RIGrC8VFGF,0.627,0.936,2,-7.935,1,0.0406,0.126,0,0.131,0.818,127.945,228507,4,30.95,14,1
Take The Long Way Home,Supertramp,spotify:track:0v0XYK0pLgsPiq5u4FKHaw,0.414,0.7,5,-8.838,1,0.0301,0.22,0.000721,0.114,0.37,76.79,308853,4,41.58238,11,1
Last Call,Skinny Puppy,spotify:track:4E8nwLIKKMGhUPFcFUYKG4,0.632,0.807,5,-11.981,1,0.051,0.0458,0.249,0.0484,0.795,107.11,354827,4,18.60527,18,0
